text,label,error_type
"Today , I cooked hashed meat with rice .",1,None
The organization as a whole must be engaged to create the conditions for your own and your team s success .,0,Future Simple Tense
I have been so busy through December because of year - end parties .,0,Past Perfect Tense
after lunch,1,None
Because the damage was spread across a wide area and they are closed to traffic .,0,Subject-Verb Agreement
Therefore I d like to go to bed more early .,1,None
I have a friend who teaches English to elementary school students at home just like me .,1,None
"It is a pitty that I can not get back to there , but I hope and expect that I could be work at overseas branch office somedays .",0,Future Simple Tense
"My university life is very boring , ",0,Subject-Verb Agreement
"But you are using the microwave oven , then you only wash your dish and spoon .",0,Present Continuous Tense
This is my first visit to Hawaii .,1,None
"But anyway , winter vacation is coming , so I better move on and forget that . ",0,Subject-Verb Agreement
So I miss some phone calls once in a while .,0,Present Simple Tense
"change my hairstyle , ",1,None
"But , time is a .m . now .",0,Subject-Verb Agreement
She wrote a today entry in Korean .,0,Past Simple Tense
I hope the victims can get through this hard time as soon as possible .,0,Future Simple Tense
"As you know , Easter is a Christan and Jew holiday .",0,Subject-Verb Agreement
I do not want to throw it on the street because my town gets dirty .,0,Subject-Verb Agreement
I took a photo which they jumped at the church .,0,Past Simple Tense
"Thus , when children go to school and have a great diversity of teachers , they learn much more than their parents could probably give them .",0,Subject-Verb Agreement
"I went there , and I met my friend .",0,Past Simple Tense
Having read the book so anything that I would gradually like to see my hero doenmoseupeul .,0,Present Continuous Tense
I ca not get anything without try .,0,Future Simple Tense
This is the application form for studying abroad .,0,Present Continuous Tense
Which field of science is this ?,0,Subject-Verb Agreement
"Recently , it is too cold for me ! !",1,None
"but , I like raining much more .",0,Present Continuous Tense
A telephone ring in the room told us the end of the day .,0,Subject-Verb Agreement
"On the second day , I met my friends who were in the same high school as me .",0,Past Simple Tense
Aquarius A gifted person .,0,Subject-Verb Agreement
"If they say they want to live large , ",1,None
My husband was on summer holidays for days from yesterday .,0,Subject-Verb Agreement
A new start !,1,None
When I lie on the bed .,1,None
The so - called ' Handkerchief Prince ' dominated the national sports media coverage five years ago .,0,Present Perfect Tense
God bless you !,1,None
but for me it is really cool .,1,None
I think I would like to continue to keep a diary .,0,Future Simple Tense
And shall we become friends ?,0,Future Continuous Tense
You can easily imagine what will happen next !,0,Future Simple Tense
"Recently , solving a quiz to get a free ticket for pizzas has been in mode in our school .",0,Present Continuous Tense
"Say hello to your sisters , Katrina and Clair .",1,None
Half from the defense .,1,None
Locked Out !,0,Present Perfect Tense
"but you , without any answer , look at me angrily , ",1,None
My second son said May be I lost it .,0,Subject-Verb Agreement
She has black hair and a tender voice .,1,None
I promise that I will try .,0,Future Continuous Tense
Cure or care,1,None
I got a doll ? of a hedgehog which was made by wooden parts .,0,Past Simple Tense
"Deep talking , We raised .",0,Present Continuous Tense
"To be sure , I do not think that only five months make me speak English .",0,Subject-Verb Agreement
"I am sorry , mom .",1,None
Tony Blair,1,None
So I think I have quite a lot of confidence at that area .,1,None
"Lecturers explained very quickly without taking a rest , ",0,Subject-Verb Agreement
My former grammar school teacher wrote an e - mail to me .,0,Past Simple Tense
I only want to know your opinion about this problem .,1,None
I have to recommend everybody,1,None
It became very cold rapidly in a day .,0,Past Simple Tense
to Dec .,1,None
It was good .,0,Past Simple Tense
I dropped into a cycle in which everything I do goes badly .,1,None
The best are the senior school students .,1,None
Yesterday I have got a telephone interview by a foreign affiliated company .,0,Present Perfect Tense
"By the way , I received some presents from my Chinese teacher today .",1,None
"I orderd to hamberger , And I have eating it on outside of the shop .",0,Present Continuous Tense
"My nephew is years old , so I think it is appropriate for him to touch English .",0,Subject-Verb Agreement
The beefs are boiled with slices of onion by little sweet soup .,0,Subject-Verb Agreement
I do not like cold weather .,1,None
"Anyone do not enjoy dishs , drinks , and service .",1,None
Please correct this in writing .,1,None
Maybe I think I was too relaxed .,0,Past Simple Tense
I would go to the shopping floor if I was a young woman .,0,Future Simple Tense
Hello !I am Miku .,1,None
Would you please teach me ?,0,Future Simple Tense
I believe they will master Japanese soon because they were selected as scholarship recipients .,0,Future Continuous Tense
Hope it is getting better now !,0,Present Continuous Tense
"Like my life , there is no way back",1,None
"Therefore , I would love to improve my hearing skill more and more .",0,Future Simple Tense
"Memory is the biggest , time - honored reward for an artist .",0,Subject-Verb Agreement
"Besides , you know , the building",1,None
There is my favorite japanese band .,1,None
"Thank you in advance , my friends !",1,None
He said the importance of being ernest and thinking ernest .,0,Past Simple Tense
Lady GaGa,1,None
I can listen to her songs in the movie .,0,Future Simple Tense
Today I got a new word of Facebook Depression .,0,Past Simple Tense
So I want to that the star give me courage .,0,Subject-Verb Agreement
"And there are four people in the family , parents , son and daughter .",1,None
Mid - Autumn Festival,1,None
"In the English version , I can hardly follow what he says . , - ",0,Future Simple Tense
I paid yen for two tickets .,0,Past Simple Tense
little afraid .,1,None
I have read English and Chinese versions of the novels .,0,Present Perfect Tense
An actor visited a place where he visited years ago and met the,0,Subject-Verb Agreement
"I sorted up my mind and asked , Why ?",1,None
I especially use some of the Firefox addons,1,None
I will show you how to make it .,0,Future Continuous Tense
"A few days ago , it was reported that the number of counterfeit products which were confiscated at customs in was the second highest level , and the ones from China had first reached of the total .",0,Past Simple Tense
What am I going to do from now on ?,0,Present Continuous Tense
A fried rice she cooked is very nice .,1,None
"Nevertheless , it did happen far sooner than I expected .",0,Past Simple Tense
Good night .,1,None
hi ! !,1,None
and it adopts the cyclone method .,1,None
"But in actuality , she is childish AHAHAHAHA ! !",1,None
"Unfortunately , I could not watch the English version , and it takes eleven minutes , so I said , if you have time . It is about Japan .",0,Future Simple Tense
"On April th , a British guy crashed local election activity in Chiba .",0,Subject-Verb Agreement
,1,None
I would like to improve my English more than now .,0,Future Simple Tense
I hope to get better soon .,1,None
New semester begun,0,Subject-Verb Agreement
"Which is more important , school learning or domestic learning ?",1,None
I am listening to a song which is about a couple .,0,Present Continuous Tense
I had good experience at there .,0,Past Simple Tense
So I will watch it from my workplace .,0,Future Continuous Tense
By the tale pain table of life that I could bend,0,Future Simple Tense
how comfortable ! !,1,None
That taste really depends on the restaurant .,1,None
It is the only international university in China with its main task set at teaching the Chinese language and culture to foreign students .,0,Subject-Verb Agreement
It was working until the afternoon .,0,Past Simple Tense
"But I also heard that AirMac is security is not so strong , so I want to try establishing wireless network with the rooter .",0,Past Simple Tense
But his father ordered him became a black smith .,0,Subject-Verb Agreement
I love Greek food .,1,None
I have already bought a London travel guide .,0,Present Perfect Tense
thanks everyone !,1,None
His major had nothing to do with cooking .,0,Past Simple Tense
The fireworks were amazingly beautiful and so big as if we can touch it .,0,Subject-Verb Agreement
"The little girl sweated a lot , she cried a lot , and the most important thing , she thought that the irregular verbs in english were pretty hard to remember .",0,Subject-Verb Agreement
Why is it so popular among Japanese people ?,1,None
I enjoyed the atmosphere like a festival for a while with running .,0,Present Continuous Tense
It was my birthday yesterday .,0,Past Simple Tense
Internet game,1,None
We got to a large park by the station .,0,Past Simple Tense
Most of my mistakes causes unknown words .,0,Subject-Verb Agreement
"His novels ' vocabulary is my limitation , and I need a lot of time to write in English .",0,Subject-Verb Agreement
But I think this book is supposed to be dedicated to grown - ups .,0,Subject-Verb Agreement
I study grammar by copying it .,0,Present Perfect Tense
"Oh , no ! !",1,None
Today was .,0,Subject-Verb Agreement
"From sunday , I will go back to my hometown ! !",0,Future Continuous Tense
I want to talk with foreign people .,1,None
I will try to translate one Brazilian song !,0,Future Continuous Tense
"This morning , at breakfast - ",1,None
"Today , I will work in the night shift .",0,Future Continuous Tense
"If you learn cooking , you have to cook in the kitchen .",0,Present Continuous Tense
"Even though this movie , The Ruins , is considered to be grade - B , Stephen King chose the movie as his best ten movies in .",0,Present Perfect Tense
Laforgue felt his body tremble .,0,Subject-Verb Agreement
Do you know what this picture is ?,0,Subject-Verb Agreement
"After I ate lunch , I went to change my shoes heels .",0,Past Simple Tense
Men always want to be a woman is first love - women like to be a man is last romance .,0,Subject-Verb Agreement
"So , I requested Doctor to prescribe a medicine to soothe instead of taking surgey .",0,Present Continuous Tense
"I watched TV shows , and slept .",1,None
This homework is difficult to me .,0,Subject-Verb Agreement
"First of all , my English teacher recommended them to improve my English .",0,Subject-Verb Agreement
The new house is not so uncomfortable and we are relaxed here .,0,Subject-Verb Agreement
Munch rice balls .,1,None
"Though I never write like this on mixi or somewhere . Because it is disgusting for me , too .",0,Present Continuous Tense
"though the leaning Japanese people and the English people , I want to correct you my entries .",0,Present Continuous Tense
Does anyone correct my previous article ?XD,0,Subject-Verb Agreement
He frequently said life of postdoctoral fellow is very stressful because they have to obtain many results of experiments to get academic position .,0,Past Simple Tense
Nice to meet you ! !,1,None
"For example , even in nowadays , some parents force their children to develop in their private opinion , but we now that always recommend the individual characters , parents should not force their children to do what they want , but to help them to find and develop their own interests .",0,Subject-Verb Agreement
I do not like these wheather .,1,None
The most famous are,1,None
understanding these and not concentrating on my technical knowledge .,0,Present Continuous Tense
I want to exchange the product due to damage .,1,None
It become one of my favorite one .,1,None
"As soon as I arrived there , I started confirming whether they were living safe and sound or not , due to their inabilities to fly with their own wings as they would like .",0,Present Continuous Tense
I awoke earlier than usual .,0,Past Simple Tense
U can hear the conversation in store sometimes .,0,Future Simple Tense
"For example , if you order an omelet , they write a shape of heart on it with tomato ketchup .",1,None
"To tell the truth , our looked Kay tasted beer with great relish with watching TV when mom went to toilet , and laughted loudy about it .",0,Subject-Verb Agreement
Tuesday morning it is for year olds .,1,None
"After your correction , I will upload the sentence here again , and hope you read the sentences in English so I can practice pronunciation .",0,Future Continuous Tense
Today is the last days up .,0,Subject-Verb Agreement
"Although it was already four days ago , I still feel like writing it down loyally just like a child .",0,Past Simple Tense
but I do not like growing older .,0,Present Continuous Tense
It was coverd over by water .,0,Past Simple Tense
" You ca not do without it , right ?",0,Future Simple Tense
"Dear all , ",1,None
"In connection with it , in agriculture transgenic agricultural technologies have been begun to be used .",0,Subject-Verb Agreement
So I was good at listen Japanese .,0,Past Simple Tense
"At this lesson , I got a lot of homework and had to remember them .",0,Past Simple Tense
Today is my day - off .,0,Subject-Verb Agreement
Have you ever heard of it ?,1,None
I will test it because I would like to know what impact it will have .,0,Future Continuous Tense
My weight is kg .,0,Subject-Verb Agreement
we discussed our futures and dreams .,1,None
am to .,1,None
"I would go the shopping floor , If I was a young woman .",0,Future Simple Tense
January I work very hard to complete big subject .,1,None
I have got a long day today .,0,Past Simple Tense
raise feeling,1,None
"I mean , I search the Web and find the answer .",1,None
"I heard that Ben was also the favorite cartoon of the US President Obama , however , I knew only Doraemon .",0,Past Simple Tense
"So her extreme expressions make me nervous , and I really do not like them .",0,Subject-Verb Agreement
I have a leg joint problem .,1,None
I am mentally retarded too .,1,None
Hope you enjoy your college life !,1,None
I felt this view probably had lasted for thousands of years .,0,Past Simple Tense
I feel like buying it as soon as possible .,0,Present Continuous Tense
They could not even fix it .,0,Future Simple Tense
But do you know glass is amorphous .,0,Subject-Verb Agreement
My account with points and monthly subscription .,1,None
"One day before my flight , my friends called upon me and we headed out for the night .",0,Subject-Verb Agreement
"In February and March , there was a great difference between the days when it was cold and warm .",0,Past Simple Tense
I was accidentally researching about Japanese ancient history .,0,Past Simple Tense
The principal character of this movie is a girl of fish .,0,Subject-Verb Agreement
"Also , I saw people who study hard for their goal .",0,Past Simple Tense
Why are they ?,1,None
Today Chiba city area has heavy rain .,0,Subject-Verb Agreement
It seems that There are many parents named their baby after someone,0,Subject-Verb Agreement
I like sports !,1,None
?,1,None
"Finally , somehow , I had muscular pain in my arms .",0,Past Simple Tense
I was very surprise !,0,Past Simple Tense
B But you need to repay the money after you get your salary .,1,None
Today was very fun day .,0,Subject-Verb Agreement
"Yesterday , I tried on kimonos .",1,None
I love airplane and beach but Princess Juliana airport is very far from Japan .,0,Subject-Verb Agreement
The mount is not so many but I should confirm it more .,0,Subject-Verb Agreement
The second thing which we have to consider is the dynamics of the changes within the personality of mankind .,1,None
We ate pasta for lunch at a cafe .,1,None
My native language is Japanese .,0,Subject-Verb Agreement
Help to correct please !,1,None
"But they do nt know that if Korean ask you those , it means that they are showing interest in you .",0,Present Continuous Tense
They were friends of my daughter is who live in same apartment .,0,Past Simple Tense
The first one was the biggest .,0,Subject-Verb Agreement
But the more unhappy thing was I had to write a long story about this game .,0,Subject-Verb Agreement
What kind of animal do you see on the moon ?,0,Subject-Verb Agreement
I am sorry for not reply to your message in year - end .,1,None
A bowl of Udon was only yen .,0,Subject-Verb Agreement
I need to try hard at English study .,1,None
There those thousand thinkers were thinking,0,Subject-Verb Agreement
Listening Practice,0,Present Continuous Tense
"We talked each other about our future , friends , partners and so on .",1,None
"Today is hot , too .",0,Subject-Verb Agreement
- Because Asians consider about their ?,0,Subject-Verb Agreement
"If my children can tell me everything , I am the best mom .",0,Future Simple Tense
Do not let the negative words affect you .,0,Subject-Verb Agreement
It is called beginning japanology .,0,Present Perfect Tense
Essay What is need for success ?,0,Present Perfect Tense
This CM song is I have got a rock ' n ' roll heart .,0,Subject-Verb Agreement
I will never give up this project,0,Future Continuous Tense
I went out for a walk with my Jazzercise friend because our usual Jazzercise lesson was closed because of the facility .,0,Past Simple Tense
I would like to know how to education for their children in North America .,0,Future Simple Tense
I like American culture .,1,None
I went to beach karaoke drive part time job shopping movie and so on .,0,Past Simple Tense
"Korean girl and her friends from England , Australia , Scott land .",1,None
Finally I got a driver is license here in California .,0,Past Simple Tense
I bought some pork livers when I got off work .,0,Past Simple Tense
Acutually she was able to got a bronze medal .,0,Past Simple Tense
Many reasons for the events in this book have came to my minds and I am still thinking of some .,0,Subject-Verb Agreement
Farewell party,1,None
One Piece,1,None
There was hardly any kerosene left in the tank .,0,Past Simple Tense
I was very,0,Past Simple Tense
" minutes ago , I found the article of Lang - in a bookstore",0,Past Simple Tense
I think we should eat healthy food . It is like Japanese food .,0,Future Simple Tense
"The yellow means you can close , you can not close .",0,Future Simple Tense
"I want to sleep in on holiday , at least .",1,None
What do you think ?,1,None
"We had to wait minutes , so we went walking around and windowshopping while waiting .",0,Past Simple Tense
But reading does not discuss about this .,0,Present Continuous Tense
since we do not want to make him or her feel unpleasant by denying his or her opinion .,0,Present Continuous Tense
It was actually rather cold inside and still no light .,0,Past Simple Tense
She is very brave and did not complain about anything .,0,Past Simple Tense
I like to translate Finnish song lyrics into English .,1,None
The kites fight each other in the sky and the losers fall .,0,Subject-Verb Agreement
I just have finished watching my princess .,0,Present Perfect Tense
The Caribbean pirates at end of world .,0,Subject-Verb Agreement
"One of two wild dogs , who was older , said loudly that there was only one who could be the king , that was the lion , because he was so brave in the war and none of the natives could be his opponent .",0,Past Simple Tense
mother father sisther brother .,1,None
I will make a lot of friends if I can speak English .,0,Future Continuous Tense
This is the first time .,1,None
Sightseeing in HIroshima,0,Present Continuous Tense
"Or , is it helpful to study Chinese simultaneously with studying English ?",0,Present Continuous Tense
"First , I want to tell you about myself .",1,None
That is a kind of how to say thank you .,1,None
"I must admit , i m not convinced that anyone would answer me , but still i want to try .",0,Future Simple Tense
Please castigation ! !,1,None
"In past time , i always study english along .",1,None
It is an oversized bowl that can hold up to times as much as the regular plates do .,0,Future Simple Tense
please send to us details in full,1,None
"I thought He will play around here and does not go far away in my dream but , suddenly my dog wasdisappeared and I tried to find him .",0,Past Simple Tense
I came back home a few days ago from Bangkok .,0,Past Simple Tense
"As I expected , I could not do well in the interview .",0,Future Simple Tense
I am cold - natured so I hate the winter .,0,Present Perfect Tense
"To be honest , I am not certain how much money is allocated to where .",0,Subject-Verb Agreement
Our Plans,1,None
I drew a winning number for the participation a long time ago .,0,Past Simple Tense
"When she finished her job , I saw her off at the station .",0,Past Simple Tense
I am wondering if is this sentence OK for native English speaker .,0,Present Continuous Tense
"I have not contacted them for a very long time , because when we graduate from college , we are busy with ourselves new job or study .",0,Present Perfect Tense
Is TOEIC getting more difficult or my English skills getting worse ?,0,Subject-Verb Agreement
CNN Japan Economy slips to third in world,0,Subject-Verb Agreement
I know that i need to change myself,1,None
My first broken heart was in the military . She was my first love .,0,Subject-Verb Agreement
"There are a bookcase , a TV , and a long sofa in the room .",1,None
"Even though I am busy , I still want to write about my feelings .",1,None
"Because it hobby , do nt need make myself put corner too hurry ",1,None
I have been reading The Snows of Kilimanjaro by Ernest Hemingway this week .,0,Past Perfect Tense
I am totally ashamed about your ugly face .,1,None
"Although our journey ended with serious sickness , many of us got a fever or problems with our stomach .",0,Subject-Verb Agreement
I only imagined a hamburger because if I was watching TV I would like to eat foods which are easy to eat .,0,Past Simple Tense
I am especially taking care of pronunciations .,0,Present Continuous Tense
Brushing of teeth,1,None
I am back !,1,None
Traveling is always the thing that i love very much .,0,Present Continuous Tense
Kyoto is very beautiful city .,0,Subject-Verb Agreement
"Now , I am studying English mainly by Dictation or by Shadowing .",0,Present Continuous Tense
Hi,1,None
Made two friends from Ghana,0,Present Perfect Tense
BUT Ransom did nt get it and is still talking crap at me .,0,Subject-Verb Agreement
"Finaly , I will get I - from University where I want to go !",0,Future Continuous Tense
english paragraph about Checkov is The Bet,0,Subject-Verb Agreement
Recently I have begun to learn German .,0,Present Perfect Tense
"We played games , and we were prize .",0,Past Simple Tense
"Then , he said that is familiar with the fact that Japanese people work overtime , and it is incorrect to describe it as hard work .",0,Past Simple Tense
And the game s spending money is also unexpensive .,0,Subject-Verb Agreement
"A rice plant is a husband of seed , A lightning is a wife of seed in situation .",0,Subject-Verb Agreement
"However , after I watched it , the impression changed totally .",0,Subject-Verb Agreement
There are so many things to do .,1,None
I have played it for hours until now .,0,Present Perfect Tense
I heard the people ware too cold to sleep the previous day .,0,Past Simple Tense
"My wife did not like it there at first , because the place is far from a station and she could not drive a car at the time .",0,Subject-Verb Agreement
"And i finally got to release the huge burden , when my teacher postponed the deadline .",0,Present Perfect Tense
but they were not came home for hours .,0,Past Simple Tense
I am remebering her shining eyes .,0,Present Continuous Tense
should be .,0,Future Simple Tense
"Finally , the separation of smoking areas is that .",0,Present Continuous Tense
negative sentences,1,None
Tepco was one of the blue - chip companies in Japan .,0,Subject-Verb Agreement
Heavy rain .,1,None
A vegetable farm,1,None
The people also lost jobs .,0,Past Simple Tense
"They are , like my younger brothers and younger sister , really lovely !",1,None
I think I am still a beginner speaking English even though I have almost studied English for a year here in Toronto .,0,Subject-Verb Agreement
He is getting more than me !,0,Present Continuous Tense
"Teacher said do not read , it is important to speak with words you can use . ",0,Subject-Verb Agreement
"Especially , rhythm has mysterious power which has not elucidated yet .",0,Subject-Verb Agreement
"These days , there are lots of hunters only for their enjoyment .",1,None
Cleaning with Baking Powder,0,Present Continuous Tense
All you have to do is be less formal and reply even to negative comments - but not censor them .,1,None
I have had enough of studying English .,0,Present Perfect Tense
"I am preparing for the PETS these days , so I must keep doing exercises .",0,Present Continuous Tense
I want to improve my English .,1,None
Do you finish it ?,1,None
I turned around and told her I really hope I can go help in the shelter during my holidays in Japan .,0,Past Simple Tense
Perhaps you are a very very distant relative of mine .,1,None
"I feel so inconvenience , because I always buy something drink in station .",1,None
Learning English,0,Present Continuous Tense
"I did not know the reason , because he can speak just Turkish .",0,Past Simple Tense
I drank too much at the night of Friday with co - workers .,1,None
Or to make foreign friends ?,1,None
I was very glad and really impressed with his improvement and efforts .,0,Past Simple Tense
I like American culture .,1,None
There are some rooms and a small cafe in the darkness .,1,None
I took part in the tournament for once .,0,Past Simple Tense
Because I took some classes there and I am the first person did that in my class .,0,Past Simple Tense
I would like to brush up my English .,0,Future Simple Tense
"I like talking and knowing anything but without knowledge , asking questions is my weak point .",0,Present Continuous Tense
"A lot of Japanese do not like it , either .",1,None
It is so very cold outside,1,None
He is really fantastic !,1,None
But the bath powders are your best friends when you take a bath ! ! !,0,Subject-Verb Agreement
My future projects - English,1,None
My mother bought math workbook for me .,0,Subject-Verb Agreement
Good morning,1,None
"By the way , I like my mother cooking lunch box ",0,Subject-Verb Agreement
Wahaha That is not important .,1,None
"Please feel free to contact me on Lang - , ",1,None
"There are so many personalities , the same as the number of people .",1,None
I had the worst experience of my life on new year is day .,0,Past Simple Tense
"I know I am thinking too logically , but it sometimes gives me a new perspective , after all .",0,Present Continuous Tense
Am I selfish ?,1,None
Then I sat up my English learning systems on my computer .,0,Past Simple Tense
"Maybe not , I think .",1,None
We are the word and Heal the word are my favourite songs .,0,Subject-Verb Agreement
I got them . why ?,0,Past Simple Tense
"So please answer these if possible , kind guys !",1,None
"By the way , recently , I lose an opptunity for exercises and I tend to gain weight .",1,None
Good night .,1,None
"I thought my hair looked like a boy is , and that my former long hair was better .",0,Past Simple Tense
The problem is that how I earn in those placecs .,0,Subject-Verb Agreement
"As far as he was concerned , the possibility of becoming a celebrity depends on where you were born and whether you are rich or not .",0,Past Simple Tense
I study English by textbook .,1,None
"Things are always be what they ought to be , it wo not change cause of your worry , god works .",0,Subject-Verb Agreement
A stag beatle is very rare .,0,Subject-Verb Agreement
"Nowadays , my mind is stuck .",0,Subject-Verb Agreement
We shared fried rice with salty chicken and diced beef with vegetables .,1,None
"Oh , I hope that I will be better soon .",0,Future Continuous Tense
"And then , the rabbit takes a rest on the grass .",0,Subject-Verb Agreement
So I was said you are not cooperative .,0,Past Simple Tense
I arrived at the company on time .,1,None
Today is a last day of my vacation .,0,Subject-Verb Agreement
My mother told me that Santa is gone .,0,Subject-Verb Agreement
"These are oral speaking language , please correct my oral speaking method",0,Subject-Verb Agreement
This place is situated in Norway .,0,Subject-Verb Agreement
"Recently , ecological is in trend and Toyota cars have the problem of accelerators , so I think that people had better ride bicycles as often as possible .",0,Subject-Verb Agreement
"Today , we spoke about space .",0,Past Simple Tense
I am glad for you to point out my mistake and to teach me the correct sentence .,1,None
I took part in the welcome and farewell party on Thursday and Friday .,0,Past Simple Tense
Japan is national football team won against Syria at the AFC Asian Cup .,0,Subject-Verb Agreement
The other reason is that I would like to enjoy a life filled with pressure .,0,Subject-Verb Agreement
"When I thought of what I can do for my country and those who live there , I came up with the idea of joining the Military to become a pilot .",0,Past Simple Tense
I live in Japan .,1,None
thanx for just reading,1,None
I am so pleased .,1,None
"At first , I will go back to Japan for six month .",0,Future Continuous Tense
Do you know Sapporo ?,1,None
I hope one day I can go to Europe .,0,Future Simple Tense
I am in Australia to study English as an exchange student for a year .,1,None
I have to buy their performance tickets somehow .,0,Subject-Verb Agreement
Japanese Opera like fake .,1,None
"If you want to delete files in a drive F , put them into Recycle Bin , and delete from Recycle Bin .",0,Past Simple Tense
I am going to face everything in front of me with my best .,0,Present Continuous Tense
I like music .,1,None
"Meanwhile , I should make a decision soon or later and step forward .",0,Future Simple Tense
"Before I came to Singapore , I was worried about my English .",0,Past Simple Tense
"It is rain , too .",1,None
Whispered voices at my ear,1,None
two cups of flour,1,None
afterwards will brew along with tea,0,Future Continuous Tense
But the author said to us that the ability they have is given from being born .,0,Subject-Verb Agreement
I really love them .,1,None
of couse the hall was full .,0,Subject-Verb Agreement
It was a very religious day in a meaning .,0,Past Simple Tense
"So , let me end with one of my favorite quotes from Martin Luther King .",1,None
"To help me , my manager nominated me to join the GlobalEnglish learning , which is an online English learning system .",0,Subject-Verb Agreement
I am eighteen .,1,None
OMG . catch the last train !,1,None
I would like to explain in detail .,0,Future Simple Tense
"I felt I really knew his admirable personal character If a natural born educator exists , he is exactly that .",0,Past Simple Tense
Cool Day,1,None
I watched Lang - about half a day .,1,None
"I was down today , though the thrilling and romance movie lifted me up .",0,Past Simple Tense
I have to brace myself more .,1,None
There was enough time to meet my friend .,0,Past Simple Tense
But I do not like those topics to talk .,1,None
Cherry blossom is my favorite flower,0,Subject-Verb Agreement
"two bleachers , a toilet detergent , an anti - insect spray , an eye lotion , etc .",1,None
"But to improve my English skills , I watched and will watch .",0,Future Continuous Tense
"We were to be safe , but I want to run a risk to survey .",0,Past Simple Tense
It is my day off today .,1,None
"They are the same , because they are living things , too .",0,Present Continuous Tense
There really were a lot last week and there were even entries which three or more visitors had corrected .,0,Past Simple Tense
Time flies .,1,None
"For example , if you want to study about Japanese culture , you only need to use google search tool and type the keyword Japanese culture and then you can learn by yourself .",0,Future Simple Tense
My coworkers like to trick with me .,1,None
I like his attitude for cooking !,1,None
The third generation will be better than the second generation .,0,Future Continuous Tense
"When I was an elementary school student , I wanted to be a bookseller or an illustrator .",0,Past Simple Tense
The noise in the midnight,1,None
Chalmers Street,1,None
"Actually , I did not know we can eat dolphins and Japan has been treated dolphins as food until I met a girl who would ever eaten dolphin meat .",0,Past Simple Tense
Last weekend I found a great opportunity to use them .,0,Past Simple Tense
"The deadline is near , what can I do to prepare for my competition .",0,Subject-Verb Agreement
Roy became agitated and thought that it was too late .,0,Subject-Verb Agreement
I hope we can eat other vegetables .,0,Future Simple Tense
They are too graphic for the generally ungraphic English emoticons to be used suitably in combination .,0,Present Perfect Tense
"For example , the animation South Park . It is an animation full of bad language .",1,None
I am back !,1,None
our internal communication language from Japanese to English .,1,None
It is the other way around today .,1,None
I heard send money by registered mail by August th .,1,None
"Every Friday , I always consider that choosing the college near my home is right .",0,Present Continuous Tense
His song is pretty good .,0,Subject-Verb Agreement
"Finally , the Austrian network operator explained what they did .",0,Subject-Verb Agreement
after all ! !,1,None
They were speaking to Japanese rearlly fluently .,0,Past Simple Tense
What will happen in ?,0,Future Continuous Tense
Or it is a normal thing .,1,None
"Dreams are important for us , because they are the force that pushes us to success .",0,Subject-Verb Agreement
So I will use this phrase to make sentences .,0,Future Continuous Tense
It is easy to mess up the rasp .,1,None
The English pronunciation is difficult .,0,Subject-Verb Agreement
